,Summary,Price,Brand,Condition,Category,Site
178,"sold  sep 13, 2019reformed womens polka dot tie front v neck cropped blouse red size medium",29.99,Reformation,PreOwned,bottoms,eBay
179,"sold  sep 13, 2019reformation kat snakeskin print dress s",35.00,Reformation,PreOwned,dresses,eBay
180,"sold  sep 13, 2019$218 reformation hattie ruffle button front blue linen dress sz 4",65.00,Reformation,PreOwned,dresses,eBay
181,"sold  sep 13, 2019reformation love your mother white t-shirt top tee sz m",25.88,Reformation,PreOwned,tops,eBay
182,"sold  sep 13, 2019reformation nikita dress size 2 secret garden print",225.00,Reformation,PreOwned,dresses,eBay
183,"sold  sep 13, 2019reformation womens cream ribbed button front iris long sleeve top size m",35.99,Reformation,PreOwned,tops,eBay
184,"sold  sep 13, 2019reformation nikita blue toscana dress size 6",140.00,Reformation,PreOwned,dresses,eBay
185,"sold  sep 13, 2019reformation women's dress nude size 4 maxi ",44.99,Reformation,PreOwned,dresses,eBay
186,"sold  sep 13, 2019awesome reformation amethyst dress, m, cherries",95.00,Reformation,PreOwned,dresses,eBay
187,"sold  sep 13, 2019reformation floral dress size 0 $198",137.50,Reformation,PreOwned,dresses,eBay
188,"sold  sep 13, 2019reformation x levi’s black denim leather patch jean jacket size m medium",99.99,Reformation,PreOwned,outerwear,eBay
189,"sold  sep 13, 2019reformation christina dress size us 10/uk14 ",43.61,Reformation,PreOwned,dresses,eBay
190,"sold  sep 13, 2019reformation black wool pleated high waisted mini skirt size xs made in usa",59.94,Reformation,PreOwned,bottoms,eBay
191,"sold  sep 13, 2019reformation mock turtleneck ribbed bodysuit women's long sleeve navy size xl euc",75.60,Reformation,PreOwned,outerwear,eBay
192,"sold  sep 16, 2019reformation grilfriend collective high rise size medium compressive pink legging",39.99,Reformation,PreOwned,other,eBay
193,"sold  sep 16, 2019reformation jeans size xs ribbed tencel mock neck mini dress black ",14.80,Reformation,PreOwned,bottoms,eBay
194,"sold  sep 16, 2019reformation gracie dress, leopard print, size 12",78.00,Reformation,PreOwned,dresses,eBay
195,"sold  sep 16, 2019reformation crimini midi dress in amber size 6",74.99,Reformation,PreOwned,dresses,eBay
196,"sold  sep 16, 2019reformation bea skirt (4)",103.28,Reformation,PreOwned,bottoms,eBay
197,"sold  sep 15, 2019reformation york white linen jacket s",43.61,Reformation,PreOwned,outerwear,eBay
198,"sold  sep 15, 2019reformation navy rena dress | women’s size 10 | retails for $218",40.00,Reformation,PreOwned,dresses,eBay
199,"sold  sep 15, 2019christy dawn maxi long sleeves euc dress - size s burgundy reformation doen",126.50,Reformation,PreOwned,dresses,eBay
200,"sold  sep 15, 2019reformation haven wrap maxi floral dress",59.00,Reformation,PreOwned,dresses,eBay
201,"sold  sep 15, 2019reformation cynthia high rise daisy embroidered rigid washed black jeans 26p",45.00,Reformation,PreOwned,bottoms,eBay
202,"sold  sep 15, 2019reformation mini dress pink linen size 0",19.00,Reformation,PreOwned,dresses,eBay
203,"sold  sep 15, 2019 reformation - sydney sweetheart minidress size 4 $218 retail blue",100.00,Reformation,PreOwned,dresses,eBay
204,"sold  sep 15, 2019reformation nikita dress size m/l size 10 ",175.00,Reformation,PreOwned,dresses,eBay
205,"sold  sep 15, 2019reformation womens v neck tie front velvet long sleeve blouse red size medium",29.99,Reformation,PreOwned,other,eBay
206,"sold  sep 15, 2019reformation grlfrnd pistola womens slim leg jeans grey medium wash size 27 lot 3",91.00,Reformation,PreOwned,bottoms,eBay
207,"sold  sep 15, 2019reformation frankie black playsuit size us8/uk12",24.92,Reformation,PreOwned,other,eBay
208,"sold  sep 15, 2019reformation silk camisole top size m",28.00,Reformation,PreOwned,tops,eBay
209,"sold  sep 15, 2019reformation black white striped long sleeve rib knit scoop neck top medium",45.99,Reformation,PreOwned,tops,eBay
210,"sold  sep 15, 2019reformation high & skinny jeans black denim-size 26",19.99,Reformation,PreOwned,bottoms,eBay
211,"sold  sep 15, 2019reformation long blue dress - size 4. uk8",17.44,Reformation,PreOwned,dresses,eBay
212,"sold  sep 15, 2019women's reformation v-neck black stripe shirt top long sleeve flax tencel sz m",17.99,Reformation,PreOwned,tops,eBay
213,"sold  sep 15, 2019reformation rooney striped dress size xs",60.00,Reformation,PreOwned,dresses,eBay
